Month,Month,#Passengers,MA,MALag
1949-01-01,1949-01-01,-1.4077788408280638,,
1949-02-01,1949-02-01,-1.3575902326797062,-1.3826845367538851,
1949-03-01,1949-03-01,-1.2404834803335385,-1.2990368565066224,-1.3826845367538851
1949-04-01,1949-04-01,-1.2655777844077172,-1.2530306323706277,-1.2990368565066224
1949-05-01,1949-05-01,-1.3324959286055273,-1.2990368565066222,-1.2530306323706277
1949-06-01,1949-06-01,-1.2153891762593596,-1.2739425524324435,-1.2990368565066222
1949-07-01,1949-07-01,-1.1066471919379182,-1.1610181840986389,-1.2739425524324435
1949-08-01,1949-08-01,-1.1066471919379182,-1.1066471919379182,-1.1610181840986389
1949-09-01,1949-09-01,-1.2070244082346333,-1.1568358000862757,-1.1066471919379182
1949-10-01,1949-10-01,-1.34922546465498,-1.2781249364448066,-1.1568358000862757
1949-11-01,1949-11-01,-1.474696985025874,-1.411961224840427,-1.2781249364448066
1949-12-01,1949-12-01,-1.3575902326797062,-1.4161436088527901,-1.411961224840427
1950-01-01,1950-01-01,-1.3826845367538851,-1.3701373847167957,-1.4161436088527901
1950-02-01,1950-02-01,-1.290672088481896,-1.3366783126178907,-1.3701373847167957
1950-03-01,1950-03-01,-1.165200568111002,-1.227936328296449,-1.3366783126178907
1950-04-01,1950-04-01,-1.2153891762593596,-1.1902948721851807,-1.227936328296449
1950-05-01,1950-05-01,-1.2990368565066224,-1.257213016382991,-1.1902948721851807
1950-06-01,1950-06-01,-1.0982824239131919,-1.198659640209907,-1.257213016382991
1950-07-01,1950-07-01,-0.92262229539394,-1.010452359653566,-1.198659640209907
1950-08-01,1950-08-01,-0.92262229539394,-0.92262229539394,-1.010452359653566
1950-09-01,1950-09-01,-1.0229995116906554,-0.9728109035422977,-0.92262229539394
1950-10-01,1950-10-01,-1.2321187123088122,-1.1275591119997337,-0.9728109035422977
1950-11-01,1950-11-01,-1.3910493047786114,-1.3115840085437118,-1.1275591119997337
1950-12-01,1950-12-01,-1.1735653361357283,-1.28230732045717,-1.3115840085437118
1951-01-01,1951-01-01,-1.1317414960120968,-1.1526534160739126,-1.28230732045717
1951-02-01,1951-02-01,-1.0899176558884656,-1.110829575950281,-1.1526534160739126
1951-03-01,1951-03-01,-0.8557041511961299,-0.9728109035422977,-1.110829575950281
1951-04-01,1951-04-01,-0.981175671567024,-0.9184399113815769,-0.9728109035422977
1951-05-01,1951-05-01,-0.9058927593444875,-0.9435342154557558,-0.9184399113815769
1951-06-01,1951-06-01,-0.8557041511961299,-0.8807984552703088,-0.9435342154557558
1951-07-01,1951-07-01,-0.6800440226768781,-0.7678740869365039,-0.8807984552703088
1951-08-01,1951-08-01,-0.6800440226768781,-0.6800440226768781,-0.7678740869365039
1951-09-01,1951-09-01,-0.8055155430477722,-0.7427797828623252,-0.6800440226768781
1951-10-01,1951-10-01,-0.9895404395917502,-0.8975279913197611,-0.7427797828623252
1951-11-01,1951-11-01,-1.1233767279873705,-1.0564585837895604,-0.8975279913197611
1951-12-01,1951-12-01,-0.9560813674928451,-1.0397290477401078,-1.0564585837895604
1952-01-01,1952-01-01,-0.9142575273692137,-0.9351694474310295,-1.0397290477401078
1952-02-01,1952-02-01,-0.8389746151466774,-0.8766160712579456,-0.9351694474310295
1952-03-01,1952-03-01,-0.7302326308252358,-0.7846036229859565,-0.8766160712579456
1952-04-01,1952-04-01,-0.8306098471219511,-0.7804212389735934,-0.7846036229859565
1952-05-01,1952-05-01,-0.8138803110724985,-0.8222450790972248,-0.7804212389735934
1952-06-01,1952-06-01,-0.5211134302070789,-0.6674968706397887,-0.8222450790972248
1952-07-01,1952-07-01,-0.42073621391036364,-0.47092482205872127,-0.6674968706397887
1952-08-01,1952-08-01,-0.3203589976136484,-0.370547605762006,-0.47092482205872127
1952-09-01,1952-09-01,-0.5963963424296154,-0.4583776700216319,-0.370547605762006
1952-10-01,1952-10-01,-0.7469621668746883,-0.6716792546521518,-0.4583776700216319
1952-11-01,1952-11-01,-0.9058927593444875,-0.8264274631095879,-0.6716792546521518
1952-12-01,1952-12-01,-0.7218678628005095,-0.8138803110724986,-0.8264274631095879
1953-01-01,1953-01-01,-0.7051383267510569,-0.7135030947757832,-0.8138803110724986
1953-02-01,1953-02-01,-0.7051383267510569,-0.7051383267510569,-0.7135030947757832
1953-03-01,1953-03-01,-0.370547605762006,-0.5378429662565315,-0.7051383267510569
1953-04-01,1953-04-01,-0.3789123737867323,-0.37472998977436917,-0.5378429662565315
1953-05-01,1953-05-01,-0.42910098193508994,-0.40400667786091116,-0.37472998977436917
1953-06-01,1953-06-01,-0.3119942295889221,-0.370547605762006,-0.40400667786091116
1953-07-01,1953-07-01,-0.13633410106967037,-0.22416416532929623,-0.370547605762006
1953-08-01,1953-08-01,-0.06941595687186018,-0.10287502897076528,-0.22416416532929623
1953-09-01,1953-09-01,-0.3621828377372798,-0.21579939730456998,-0.10287502897076528
1953-10-01,1953-10-01,-0.5796668063801629,-0.4709248220587213,-0.21579939730456998
1953-11-01,1953-11-01,-0.8389746151466774,-0.7093207107634201,-0.4709248220587213
1953-12-01,1953-12-01,-0.6633144866274255,-0.7511445508870515,-0.7093207107634201
1954-01-01,1954-01-01,-0.6382201825532468,-0.6507673345903362,-0.7511445508870515
1954-02-01,1954-02-01,-0.7720564709488671,-0.7051383267510569,-0.6507673345903362
1954-03-01,1954-03-01,-0.3789123737867323,-0.5754844223677997,-0.7051383267510569
1954-04-01,1954-04-01,-0.4458305179845425,-0.4123714458856374,-0.5754844223677997
1954-05-01,1954-05-01,-0.38727714181145856,-0.4165538298980005,-0.4123714458856374
1954-06-01,1954-06-01,-0.13633410106967037,-0.26180562144056446,-0.4165538298980005
1954-07-01,1954-07-01,0.18152708386992802,0.02259649140012883,-0.26180562144056446
1954-08-01,1954-08-01,0.10624417164739156,0.1438856277586598,0.02259649140012883
1954-09-01,1954-09-01,-0.17815794119330172,-0.03595688477295508,0.1438856277586598
1954-10-01,1954-10-01,-0.42910098193508994,-0.30362946156419585,-0.03595688477295508
1954-11-01,1954-11-01,-0.646584950577973,-0.5378429662565315,-0.30362946156419585
1954-12-01,1954-12-01,-0.42910098193508994,-0.5378429662565315,-0.5378429662565315
1955-01-01,1955-01-01,-0.3203589976136484,-0.37472998977436917,-0.5378429662565315
1955-02-01,1955-02-01,-0.39564190983618486,-0.3580004537249166,-0.37472998977436917
1955-03-01,1955-03-01,-0.11123979699549155,-0.2534408534158382,-0.3580004537249166
1955-04-01,1955-04-01,-0.094510260946039,-0.10287502897076528,-0.2534408534158382
1955-05-01,1955-05-01,-0.08614549292131272,-0.09032787693367586,-0.10287502897076528
1955-06-01,1955-06-01,0.29026906819136955,0.1020617876350284,-0.09032787693367586
1955-07-01,1955-07-01,0.700142701402957,0.49520588479716326,0.1020617876350284
1955-08-01,1955-08-01,0.5579416449826103,0.6290421731927837,0.49520588479716326
1955-09-01,1955-09-01,0.26517476411719076,0.41155820454990055,0.6290421731927837
1955-10-01,1955-10-01,-0.05268642082240763,0.10624417164739157,0.41155820454990055
1955-11-01,1955-11-01,-0.3621828377372798,-0.20743462927984369,0.10624417164739157
1955-12-01,1955-12-01,-0.01922734872350254,-0.19070509323039114,-0.20743462927984369
1956-01-01,1956-01-01,0.030961259424855097,0.005866955350676306,-0.19070509323039114
1956-02-01,1956-02-01,-0.027592116748228816,0.0016845713383131684,0.005866955350676306
1956-03-01,1956-03-01,0.3069986042408221,0.13970324374629667,0.0016845713383131684
1956-04-01,1956-04-01,0.273539532141917,0.29026906819136955,0.13970324374629667
1956-05-01,1956-05-01,0.3153633722655484,0.2944514522037327,0.29026906819136955
1956-06-01,1956-06-01,0.7837903816502196,0.549576876957884,0.2944514522037327
1956-07-01,1956-07-01,1.1100163346145444,0.946903358132382,0.549576876957884
1956-08-01,1956-08-01,1.0430981904167342,1.0765572625156392,0.946903358132382
1956-09-01,1956-09-01,0.6248597891804205,0.8339789897985774,1.0765572625156392
1956-10-01,1956-10-01,0.2149861559688331,0.4199229725746268,0.8339789897985774
1956-11-01,1956-11-01,-0.07778072489658645,0.06860271553612332,0.4199229725746268
1956-12-01,1956-12-01,0.2149861559688331,0.06860271553612333,0.06860271553612332
1957-01-01,1957-01-01,0.29026906819136955,0.2526276120801013,0.06860271553612333
1957-02-01,1957-02-01,0.17316231584520175,0.23171569201828565,0.2526276120801013
1957-03-01,1957-03-01,0.6332245572051468,0.40319343652517425,0.23171569201828565
1957-04-01,1957-04-01,0.5663064130073366,0.5997654851062417,0.40319343652517425
1957-05-01,1957-05-01,0.6248597891804205,0.5955831010938786,0.5997654851062417
1957-06-01,1957-06-01,1.1852992468370809,0.9050795180087507,0.5955831010938786
1957-07-01,1957-07-01,1.5449842719003106,1.3651417593686959,0.9050795180087507
1957-08-01,1957-08-01,1.561713807949763,1.553349039925037,1.3651417593686959
1957-09-01,1957-09-01,1.034733422392008,1.2982236151708855,1.553349039925037
1957-10-01,1957-10-01,0.5579416449826103,0.7963375336873091,1.2982236151708855
1957-11-01,1957-11-01,0.20662138794410684,0.3822815164633586,0.7963375336873091
1957-12-01,1957-12-01,0.46592919671062133,0.3362752923273641,0.3822815164633586
1958-01-01,1958-01-01,0.4993882688095264,0.48265873276007387,0.3362752923273641
1958-02-01,1958-02-01,0.3153633722655484,0.4073758205375374,0.48265873276007387
1958-03-01,1958-03-01,0.6834131653535044,0.49938826880952636,0.4073758205375374
1958-04-01,1958-04-01,0.5663064130073366,0.6248597891804205,0.49938826880952636
1958-05-01,1958-05-01,0.6917779333782307,0.6290421731927838,0.6248597891804205
1958-06-01,1958-06-01,1.2940412311585223,0.9929095822683764,0.6290421731927838
1958-07-01,1958-07-01,1.7624682405431937,1.528254735850858,0.9929095822683764
1958-08-01,1958-08-01,1.8795749928893615,1.8210216167162776,1.528254735850858
1958-09-01,1958-09-01,1.034733422392008,1.4571542076406847,1.8210216167162776
1958-10-01,1958-10-01,0.6583188612793256,0.8465261418356668,1.4571542076406847
1958-11-01,1958-11-01,0.2484452280677382,0.4533820446735319,0.8465261418356668
1958-12-01,1958-12-01,0.4742939647353476,0.36136959640154287,0.4533820446735319
1959-01-01,1959-01-01,0.6666836293040519,0.5704887970196997,0.36136959640154287
1959-02-01,1959-02-01,0.516117804858979,0.5914007170815154,0.5704887970196997
1959-03-01,1959-03-01,1.0514629584414605,0.7837903816502197,0.5914007170815154
1959-04-01,1959-04-01,0.9678152781941977,1.009639118317829,0.7837903816502197
1959-05-01,1959-05-01,1.1685697107876283,1.068192494490913,1.009639118317829
1959-06-01,1959-06-01,1.6035376480733945,1.3860536794305114,1.068192494490913
1959-07-01,1959-07-01,2.239260017952591,1.921398833012993,1.3860536794305114
1959-08-01,1959-08-01,2.33127246622458,2.2852662420885856,1.921398833012993
1959-09-01,1959-09-01,1.528254735850858,1.929763601037719,2.2852662420885856
1959-10-01,1959-10-01,1.0598277264661866,1.2940412311585223,1.929763601037719
1959-11-01,1959-11-01,0.6834131653535044,0.8716204459098456,1.2940412311585223
1959-12-01,1959-12-01,1.0430981904167342,0.8632556778851193,0.8716204459098456
1960-01-01,1960-01-01,1.1434754067134494,1.0932867985650918,0.8632556778851193
1960-02-01,1960-02-01,0.9259914380705664,1.034733422392008,1.0932867985650918
1960-03-01,1960-03-01,1.160204942762902,1.043098190416734,1.034733422392008
1960-04-01,1960-04-01,1.5115251998014054,1.3358650712821536,1.043098190416734
1960-05-01,1960-05-01,1.6035376480733945,1.5575314239373999,1.3358650712821536
1960-06-01,1960-06-01,2.1305180336311498,1.867027840852272,1.5575314239373999
1960-07-01,1960-07-01,2.8582528517823356,2.4943854427067427,1.867027840852272
1960-08-01,1960-08-01,2.7244165633867152,2.791334707584525,2.4943854427067427
1960-09-01,1960-09-01,1.9046692969635404,2.314542930175128,2.791334707584525
1960-10-01,1960-10-01,1.5115251998014054,1.7080972483824728,2.314542930175128
1960-11-01,1960-11-01,0.9176266700458401,1.2145759349236227,1.7080972483824728
1960-12-01,1960-12-01,1.2689469270843436,1.0932867985650918,1.2145759349236227
