Month,Month,#Passengers,before_shift,before_lag
1949-01-01,1949-01-01,-1.4077788408280638,,
1949-02-01,1949-02-01,-1.3575902326797062,-1.4077788408280638,
1949-03-01,1949-03-01,-1.2404834803335385,-1.3575902326797062,
1949-04-01,1949-04-01,-1.2655777844077172,-1.2404834803335385,
1949-05-01,1949-05-01,-1.3324959286055273,-1.2655777844077172,
1949-06-01,1949-06-01,-1.2153891762593596,-1.3324959286055273,
1949-07-01,1949-07-01,-1.1066471919379182,-1.2153891762593596,
1949-08-01,1949-08-01,-1.1066471919379182,-1.1066471919379182,
1949-09-01,1949-09-01,-1.2070244082346333,-1.1066471919379182,
1949-10-01,1949-10-01,-1.34922546465498,-1.2070244082346333,
1949-11-01,1949-11-01,-1.474696985025874,-1.34922546465498,
1949-12-01,1949-12-01,-1.3575902326797062,-1.474696985025874,
1950-01-01,1950-01-01,-1.3826845367538851,-1.3575902326797062,-1.4077788408280638
1950-02-01,1950-02-01,-1.290672088481896,-1.3826845367538851,-1.3575902326797062
1950-03-01,1950-03-01,-1.165200568111002,-1.290672088481896,-1.2404834803335385
1950-04-01,1950-04-01,-1.2153891762593596,-1.165200568111002,-1.2655777844077172
1950-05-01,1950-05-01,-1.2990368565066224,-1.2153891762593596,-1.3324959286055273
1950-06-01,1950-06-01,-1.0982824239131919,-1.2990368565066224,-1.2153891762593596
1950-07-01,1950-07-01,-0.92262229539394,-1.0982824239131919,-1.1066471919379182
1950-08-01,1950-08-01,-0.92262229539394,-0.92262229539394,-1.1066471919379182
1950-09-01,1950-09-01,-1.0229995116906554,-0.92262229539394,-1.2070244082346333
1950-10-01,1950-10-01,-1.2321187123088122,-1.0229995116906554,-1.34922546465498
1950-11-01,1950-11-01,-1.3910493047786114,-1.2321187123088122,-1.474696985025874
1950-12-01,1950-12-01,-1.1735653361357283,-1.3910493047786114,-1.3575902326797062
1951-01-01,1951-01-01,-1.1317414960120968,-1.1735653361357283,-1.3826845367538851
1951-02-01,1951-02-01,-1.0899176558884656,-1.1317414960120968,-1.290672088481896
1951-03-01,1951-03-01,-0.8557041511961299,-1.0899176558884656,-1.165200568111002
1951-04-01,1951-04-01,-0.981175671567024,-0.8557041511961299,-1.2153891762593596
1951-05-01,1951-05-01,-0.9058927593444875,-0.981175671567024,-1.2990368565066224
1951-06-01,1951-06-01,-0.8557041511961299,-0.9058927593444875,-1.0982824239131919
1951-07-01,1951-07-01,-0.6800440226768781,-0.8557041511961299,-0.92262229539394
1951-08-01,1951-08-01,-0.6800440226768781,-0.6800440226768781,-0.92262229539394
1951-09-01,1951-09-01,-0.8055155430477722,-0.6800440226768781,-1.0229995116906554
1951-10-01,1951-10-01,-0.9895404395917502,-0.8055155430477722,-1.2321187123088122
1951-11-01,1951-11-01,-1.1233767279873705,-0.9895404395917502,-1.3910493047786114
1951-12-01,1951-12-01,-0.9560813674928451,-1.1233767279873705,-1.1735653361357283
1952-01-01,1952-01-01,-0.9142575273692137,-0.9560813674928451,-1.1317414960120968
1952-02-01,1952-02-01,-0.8389746151466774,-0.9142575273692137,-1.0899176558884656
1952-03-01,1952-03-01,-0.7302326308252358,-0.8389746151466774,-0.8557041511961299
1952-04-01,1952-04-01,-0.8306098471219511,-0.7302326308252358,-0.981175671567024
1952-05-01,1952-05-01,-0.8138803110724985,-0.8306098471219511,-0.9058927593444875
1952-06-01,1952-06-01,-0.5211134302070789,-0.8138803110724985,-0.8557041511961299
1952-07-01,1952-07-01,-0.42073621391036364,-0.5211134302070789,-0.6800440226768781
1952-08-01,1952-08-01,-0.3203589976136484,-0.42073621391036364,-0.6800440226768781
1952-09-01,1952-09-01,-0.5963963424296154,-0.3203589976136484,-0.8055155430477722
1952-10-01,1952-10-01,-0.7469621668746883,-0.5963963424296154,-0.9895404395917502
1952-11-01,1952-11-01,-0.9058927593444875,-0.7469621668746883,-1.1233767279873705
1952-12-01,1952-12-01,-0.7218678628005095,-0.9058927593444875,-0.9560813674928451
1953-01-01,1953-01-01,-0.7051383267510569,-0.7218678628005095,-0.9142575273692137
1953-02-01,1953-02-01,-0.7051383267510569,-0.7051383267510569,-0.8389746151466774
1953-03-01,1953-03-01,-0.370547605762006,-0.7051383267510569,-0.7302326308252358
1953-04-01,1953-04-01,-0.3789123737867323,-0.370547605762006,-0.8306098471219511
1953-05-01,1953-05-01,-0.42910098193508994,-0.3789123737867323,-0.8138803110724985
1953-06-01,1953-06-01,-0.3119942295889221,-0.42910098193508994,-0.5211134302070789
1953-07-01,1953-07-01,-0.13633410106967037,-0.3119942295889221,-0.42073621391036364
1953-08-01,1953-08-01,-0.06941595687186018,-0.13633410106967037,-0.3203589976136484
1953-09-01,1953-09-01,-0.3621828377372798,-0.06941595687186018,-0.5963963424296154
1953-10-01,1953-10-01,-0.5796668063801629,-0.3621828377372798,-0.7469621668746883
1953-11-01,1953-11-01,-0.8389746151466774,-0.5796668063801629,-0.9058927593444875
1953-12-01,1953-12-01,-0.6633144866274255,-0.8389746151466774,-0.7218678628005095
1954-01-01,1954-01-01,-0.6382201825532468,-0.6633144866274255,-0.7051383267510569
1954-02-01,1954-02-01,-0.7720564709488671,-0.6382201825532468,-0.7051383267510569
1954-03-01,1954-03-01,-0.3789123737867323,-0.7720564709488671,-0.370547605762006
1954-04-01,1954-04-01,-0.4458305179845425,-0.3789123737867323,-0.3789123737867323
1954-05-01,1954-05-01,-0.38727714181145856,-0.4458305179845425,-0.42910098193508994
1954-06-01,1954-06-01,-0.13633410106967037,-0.38727714181145856,-0.3119942295889221
1954-07-01,1954-07-01,0.18152708386992802,-0.13633410106967037,-0.13633410106967037
1954-08-01,1954-08-01,0.10624417164739156,0.18152708386992802,-0.06941595687186018
1954-09-01,1954-09-01,-0.17815794119330172,0.10624417164739156,-0.3621828377372798
1954-10-01,1954-10-01,-0.42910098193508994,-0.17815794119330172,-0.5796668063801629
1954-11-01,1954-11-01,-0.646584950577973,-0.42910098193508994,-0.8389746151466774
1954-12-01,1954-12-01,-0.42910098193508994,-0.646584950577973,-0.6633144866274255
1955-01-01,1955-01-01,-0.3203589976136484,-0.42910098193508994,-0.6382201825532468
1955-02-01,1955-02-01,-0.39564190983618486,-0.3203589976136484,-0.7720564709488671
1955-03-01,1955-03-01,-0.11123979699549155,-0.39564190983618486,-0.3789123737867323
1955-04-01,1955-04-01,-0.094510260946039,-0.11123979699549155,-0.4458305179845425
1955-05-01,1955-05-01,-0.08614549292131272,-0.094510260946039,-0.38727714181145856
1955-06-01,1955-06-01,0.29026906819136955,-0.08614549292131272,-0.13633410106967037
1955-07-01,1955-07-01,0.700142701402957,0.29026906819136955,0.18152708386992802
1955-08-01,1955-08-01,0.5579416449826103,0.700142701402957,0.10624417164739156
1955-09-01,1955-09-01,0.26517476411719076,0.5579416449826103,-0.17815794119330172
1955-10-01,1955-10-01,-0.05268642082240763,0.26517476411719076,-0.42910098193508994
1955-11-01,1955-11-01,-0.3621828377372798,-0.05268642082240763,-0.646584950577973
1955-12-01,1955-12-01,-0.01922734872350254,-0.3621828377372798,-0.42910098193508994
1956-01-01,1956-01-01,0.030961259424855097,-0.01922734872350254,-0.3203589976136484
1956-02-01,1956-02-01,-0.027592116748228816,0.030961259424855097,-0.39564190983618486
1956-03-01,1956-03-01,0.3069986042408221,-0.027592116748228816,-0.11123979699549155
1956-04-01,1956-04-01,0.273539532141917,0.3069986042408221,-0.094510260946039
1956-05-01,1956-05-01,0.3153633722655484,0.273539532141917,-0.08614549292131272
1956-06-01,1956-06-01,0.7837903816502196,0.3153633722655484,0.29026906819136955
1956-07-01,1956-07-01,1.1100163346145444,0.7837903816502196,0.700142701402957
1956-08-01,1956-08-01,1.0430981904167342,1.1100163346145444,0.5579416449826103
1956-09-01,1956-09-01,0.6248597891804205,1.0430981904167342,0.26517476411719076
1956-10-01,1956-10-01,0.2149861559688331,0.6248597891804205,-0.05268642082240763
1956-11-01,1956-11-01,-0.07778072489658645,0.2149861559688331,-0.3621828377372798
1956-12-01,1956-12-01,0.2149861559688331,-0.07778072489658645,-0.01922734872350254
1957-01-01,1957-01-01,0.29026906819136955,0.2149861559688331,0.030961259424855097
1957-02-01,1957-02-01,0.17316231584520175,0.29026906819136955,-0.027592116748228816
1957-03-01,1957-03-01,0.6332245572051468,0.17316231584520175,0.3069986042408221
1957-04-01,1957-04-01,0.5663064130073366,0.6332245572051468,0.273539532141917
1957-05-01,1957-05-01,0.6248597891804205,0.5663064130073366,0.3153633722655484
1957-06-01,1957-06-01,1.1852992468370809,0.6248597891804205,0.7837903816502196
1957-07-01,1957-07-01,1.5449842719003106,1.1852992468370809,1.1100163346145444
1957-08-01,1957-08-01,1.561713807949763,1.5449842719003106,1.0430981904167342
1957-09-01,1957-09-01,1.034733422392008,1.561713807949763,0.6248597891804205
1957-10-01,1957-10-01,0.5579416449826103,1.034733422392008,0.2149861559688331
1957-11-01,1957-11-01,0.20662138794410684,0.5579416449826103,-0.07778072489658645
1957-12-01,1957-12-01,0.46592919671062133,0.20662138794410684,0.2149861559688331
1958-01-01,1958-01-01,0.4993882688095264,0.46592919671062133,0.29026906819136955
1958-02-01,1958-02-01,0.3153633722655484,0.4993882688095264,0.17316231584520175
1958-03-01,1958-03-01,0.6834131653535044,0.3153633722655484,0.6332245572051468
1958-04-01,1958-04-01,0.5663064130073366,0.6834131653535044,0.5663064130073366
1958-05-01,1958-05-01,0.6917779333782307,0.5663064130073366,0.6248597891804205
1958-06-01,1958-06-01,1.2940412311585223,0.6917779333782307,1.1852992468370809
1958-07-01,1958-07-01,1.7624682405431937,1.2940412311585223,1.5449842719003106
1958-08-01,1958-08-01,1.8795749928893615,1.7624682405431937,1.561713807949763
1958-09-01,1958-09-01,1.034733422392008,1.8795749928893615,1.034733422392008
1958-10-01,1958-10-01,0.6583188612793256,1.034733422392008,0.5579416449826103
1958-11-01,1958-11-01,0.2484452280677382,0.6583188612793256,0.20662138794410684
1958-12-01,1958-12-01,0.4742939647353476,0.2484452280677382,0.46592919671062133
1959-01-01,1959-01-01,0.6666836293040519,0.4742939647353476,0.4993882688095264
1959-02-01,1959-02-01,0.516117804858979,0.6666836293040519,0.3153633722655484
1959-03-01,1959-03-01,1.0514629584414605,0.516117804858979,0.6834131653535044
1959-04-01,1959-04-01,0.9678152781941977,1.0514629584414605,0.5663064130073366
1959-05-01,1959-05-01,1.1685697107876283,0.9678152781941977,0.6917779333782307
1959-06-01,1959-06-01,1.6035376480733945,1.1685697107876283,1.2940412311585223
1959-07-01,1959-07-01,2.239260017952591,1.6035376480733945,1.7624682405431937
1959-08-01,1959-08-01,2.33127246622458,2.239260017952591,1.8795749928893615
1959-09-01,1959-09-01,1.528254735850858,2.33127246622458,1.034733422392008
1959-10-01,1959-10-01,1.0598277264661866,1.528254735850858,0.6583188612793256
1959-11-01,1959-11-01,0.6834131653535044,1.0598277264661866,0.2484452280677382
1959-12-01,1959-12-01,1.0430981904167342,0.6834131653535044,0.4742939647353476
1960-01-01,1960-01-01,1.1434754067134494,1.0430981904167342,0.6666836293040519
1960-02-01,1960-02-01,0.9259914380705664,1.1434754067134494,0.516117804858979
1960-03-01,1960-03-01,1.160204942762902,0.9259914380705664,1.0514629584414605
1960-04-01,1960-04-01,1.5115251998014054,1.160204942762902,0.9678152781941977
1960-05-01,1960-05-01,1.6035376480733945,1.5115251998014054,1.1685697107876283
1960-06-01,1960-06-01,2.1305180336311498,1.6035376480733945,1.6035376480733945
1960-07-01,1960-07-01,2.8582528517823356,2.1305180336311498,2.239260017952591
1960-08-01,1960-08-01,2.7244165633867152,2.8582528517823356,2.33127246622458
1960-09-01,1960-09-01,1.9046692969635404,2.7244165633867152,1.528254735850858
1960-10-01,1960-10-01,1.5115251998014054,1.9046692969635404,1.0598277264661866
1960-11-01,1960-11-01,0.9176266700458401,1.5115251998014054,0.6834131653535044
1960-12-01,1960-12-01,1.2689469270843436,0.9176266700458401,1.0430981904167342
